Nivel,CodIBGE,Municipio,2007,2009,2011,2013,2015,2017
MU,1707009,Dianópolis (TO),174189,191432,280644,312851,249360,299061
MU,1707108,Divinópolis do Tocantins (TO),35028,46123,59753,73311,97208,117500
MU,1707207,Dois Irmãos do Tocantins (TO),28325,43460,54146,69386,79790,101243
MU,1707306,Dueré (TO),32525,51818,68883,78199,116330,122505
MU,1707405,Esperantina (TO),27105,37463,52421,68008,74414,84973
MU,1707553,Fátima (TO),24497,30732,37425,43961,60454,56844
MU,1707652,Figueirópolis (TO),46592,59871,83429,118029,137387,153233
MU,1707702,Filadélfia (TO),35750,50151,61691,78516,87910,97768
MU,1708205,Formoso do Araguaia (TO),131880,188139,234202,325638,357367,400186
MU,1708254,Fortaleza do Tabocão (TO),55306,64710,68689,104411,137466,136938
MU,1708304,Goianorte (TO),19584,30476,37130,46538,55482,78038
MU,1709005,Goiatins (TO),41118,61354,82117,111081,134107,149049
MU,1709302,Guaraí (TO),166809,248891,322618,414598,574531,584923
MU,1709500,Gurupi (TO),751218,944022,1259857,1616666,1842379,2155992
MU,1709807,Ipueiras (TO),8779,16130,20870,27536,30311,36598
MU,1710508,Itacajá (TO),30144,42079,53493,71812,78678,96741
MU,1710706,Itaguatins (TO),21823,30716,41320,42853,50622,59181
MU,1710904,Itapiratins (TO),16101,30469,32554,48080,55777,69450
MU,1711100,Itaporã do Tocantins (TO),16695,24257,25457,30359,38491,42877
MU,1711506,Jaú do Tocantins (TO),19543,25908,31748,38722,47108,57859
MU,1711803,Juarina (TO),9072,13094,16229,20055,29238,35420
MU,1711902,Lagoa da Confusão (TO),88423,153939,204658,329552,454390,503230
MU,1711951,Lagoa do Tocantins (TO),11712,16168,21864,28513,33124,38403
MU,1712009,Lajeado (TO),20253,24533,30949,43321,54901,63344
MU,1712157,Lavandeira (TO),16532,25984,55197,76562,19121,23827
