 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mar/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"120038 Plácido de Castro";16;16;11344,39;9358,05;-;-;1986,34;-;-;709,02;709,02;34;2,1;-;-
"120040 Rio Branco";2199;2237;2867239,04;2234332,83;-;-;632906,21;-;-;1281,73;1303,88;14640;6,7;124;5,64
"120042 Rodrigues Alves";11;11;2131,32;1705,67;-;-;425,65;-;-;193,76;193,76;25;2,3;-;-
"120050 Sena Madureira";167;167;95430,46;74369,05;-;-;21061,41;-;-;571,44;571,44;558;3,3;9;5,39
"120045 Senador Guiomard";27;27;22118,13;17600,85;-;-;4517,28;-;-;819,19;819,19;113;4,2;4;14,81
"120060 Tarauacá";219;219;101289,51;74041,94;-;-;27247,57;-;-;462,51;462,51;413;1,9;7;3,20
"120070 Xapuri";67;67;29903,30;24875,14;-;-;5028,16;-;-;446,32;446,32;239;3,6;-;-
"130002 Alvarães";74;74;48183,16;37088,07;-;-;11095,09;-;-;651,12;651,12;330;4,5;2;2,70
"130006 Amaturá";32;32;12668,34;9311,58;-;-;3356,76;-;-;395,89;395,89;79;2,5;-;-
"130010 Anori";58;58;17935,65;13148,83;-;-;4786,82;-;-;309,24;309,24;180;3,1;1;1,72
"130014 Apuí";74;74;53644,49;40976,03;-;-;12668,46;-;-;724,93;724,93;338;4,6;6;8,11
"130030 Autazes";79;79;66249,73;52096,29;-;-;14153,44;-;-;838,60;838,60;348;4,4;10;12,66
"130040 Barcelos";55;55;26409,19;19968,62;-;-;6440,57;-;-;480,17;480,17;179;3,3;3;5,45
"130050 Barreirinha";147;147;55991,37;38282,58;-;-;17708,79;-;-;380,89;380,89;628;4,3;14;9,52
"130060 Benjamin Constant";124;124;87912,52;67453,80;-;-;20458,72;-;-;708,97;708,97;435;3,5;1;0,81
"130068 Boa Vista do Ramos";73;73;43830,19;33953,04;-;-;9877,15;-;-;600,41;600,41;189;2,6;3;4,11
"130070 Boca do Acre";147;147;80106,13;58023,76;-;-;22082,37;-;-;544,94;544,94;511;3,5;6;4,08
