 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Abr/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"220700 Oeiras";396;396;904289,06;755576,04;-;-;148713,02;-;-;2283,56;2283,56;1642;4,1;22;5,56
"220760 Parnaguá";85;85;47757,96;41313,27;-;-;6444,69;-;-;561,86;561,86;252;3,0;-;-
"220770 Parnaíba";1311;1311;1456117,80;1105044,31;-;-;351073,49;-;-;1110,69;1110,69;7625;5,8;100;7,63
"220790 Pedro II";235;235;149108,37;118706,55;-;-;30401,82;-;-;634,50;634,50;933;4,0;6;2,55
"220800 Picos";485;485;330261,36;264175,11;-;-;66086,25;-;-;680,95;680,95;2006;4,1;35;7,22
"220810 Pimenteiras";17;17;5959,04;5015,29;-;-;943,75;-;-;350,53;350,53;60;3,5;-;-
"220880 Regeneração";144;144;71019,91;62228,27;-;-;8791,64;-;-;493,19;493,19;286;2,0;-;-
"220890 Ribeiro Gonçalves";19;19;7680,96;6170,54;-;-;1510,42;-;-;404,26;404,26;34;1,8;-;-
"220960 São Félix do Piauí";2;2;2082,42;1700,06;-;-;382,36;-;-;1041,21;1041,21;5;2,5;-;-
"221000 São João do Piauí";107;107;46360,34;35784,40;-;-;10575,94;-;-;433,27;433,27;420;3,9;3;2,80
"221040 São Miguel do Tapuio";40;40;40957,86;32056,81;-;-;8901,05;-;-;1023,95;1023,95;170;4,3;-;-
"221050 São Pedro do Piauí";29;29;29304,70;22985,17;-;-;6319,53;-;-;1010,51;1010,51;95;3,3;-;-
"221060 São Raimundo Nonato";932;932;1187221,42;1000525,60;-;-;186695,82;-;-;1273,84;1273,84;2874;3,1;19;2,04
"221070 Simões";139;139;80455,11;71528,44;-;-;8926,67;-;-;578,81;578,81;412;3,0;-;-
"221100 Teresina";7390;7509;18958234,21;15741080,39;-;-;3217153,82;-;-;2524,73;2565,39;48155;6,5;649;8,78
"221110 União";71;71;43745,26;33836,18;-;-;9909,08;-;-;616,13;616,13;280;3,9;2;2,82
"221120 Uruçuí";165;165;174982,28;137167,79;-;-;37814,49;-;-;1060,50;1060,50;800;4,8;10;6,06
"221130 Valença do Piauí";177;177;137200,06;101108,88;-;-;36091,18;-;-;775,14;775,14;577;3,3;8;4,52
"221170 Wall Ferraz";29;29;17620,04;15758,61;-;-;1861,43;-;-;607,59;607,59;84;2,9;-;-
"230020 Acaraú";328;328;188424,48;137937,01;-;-;50487,47;-;-;574,46;574,46;1102;3,4;7;2,13
"230030 Acopiara";96;96;88011,57;66058,92;-;-;21952,65;-;-;916,79;916,79;296;3,1;3;3,13
"230040 Aiuaba";13;13;14490,00;11492,76;-;-;2997,24;-;-;1114,62;1114,62;55;4,2;-;-
"230070 Alto Santo";9;9;8906,06;7103,37;-;-;1802,69;-;-;989,56;989,56;46;5,1;-;-
"230080 Antonina do Norte";18;18;18416,47;15067,49;-;-;3348,98;-;-;1023,14;1023,14;77;4,3;1;5,56
